observation,string,abstract,node,accuracy
8,M2R1V0_RNG,A8,C1,1
9,M2R1V0_RNG,A8,C1,0.4
10,M2R1V0_RNG,A8,C1,1
11,M2R1V0_RNG,A8,C1,0.4
12,M2R1V0_RNG,A8,C1,1
13,M2R1V0_RNG,A8,C1,0.4
14,M2R1V0_RNG,A8,C1,1
15,M2R1V0_RNG,A8,C1,0.8
16,M2R1V0_RNG,A8,C1,1
17,M2R1V0_RNG,A8,C1,0.6
18,M2R1V0_RNG,A8,C1,0.4
19,M2R1V0_RNG,A8,C1,0.8
20,M2R1V0_RNG,A8,C1,1
21,M2R1V0_RNG,A8,C1,1
22,M2R1V0_RNG,A8,C1,1
23,M2R1V0_RNG,A8,C1,0.8
24,M2R1V0_RNG,A8,C1,0.6
25,M2R1V0_RNG,A8,C1,0.8
26,M2R1V0_RNG,A8,C1,1
27,M2R1V0_RNG,A8,C1,1
28,M2R1V0_RNG,A8,C1,1
29,M2R1V0_RNG,A8,C1,0.6
30,M2R1V0_RNG,A8,C1,0.8
1,M2R1V1_DEC,A8,C4,0.6
2,M2R1V1_DEC,A8,C4,0.2
3,M2R1V1_DEC,A8,C4,1
4,M2R1V1_DEC,A8,C4,1
5,M2R1V1_DEC,A8,C4,1
6,M2R1V1_DEC,A8,C4,1
7,M2R1V1_DEC,A8,C4,0.6
8,M2R1V1_DEC,A8,C4,1
9,M2R1V1_DEC,A8,C4,1
10,M2R1V1_DEC,A8,C4,1
11,M2R1V1_DEC,A8,C4,1
12,M2R1V1_DEC,A8,C4,1
13,M2R1V1_DEC,A8,C4,0.6
14,M2R1V1_DEC,A8,C4,1
15,M2R1V1_DEC,A8,C4,0.6
16,M2R1V1_DEC,A8,C4,0.6
17,M2R1V1_DEC,A8,C4,1
18,M2R1V1_DEC,A8,C4,1
19,M2R1V1_DEC,A8,C4,0.6
20,M2R1V1_DEC,A8,C4,1
21,M2R1V1_DEC,A8,C4,0.4
22,M2R1V1_DEC,A8,C4,0.6
23,M2R1V1_DEC,A8,C4,1
24,M2R1V1_DEC,A8,C4,0.8
25,M2R1V1_DEC,A8,C4,1
26,M2R1V1_DEC,A8,C4,0.6
27,M2R1V1_DEC,A8,C4,1
28,M2R1V1_DEC,A8,C4,0.6
29,M2R1V1_DEC,A8,C4,0.6
30,M2R1V1_DEC,A8,C4,1
1,M2R2V0_RNG,A9,C1,0.75
2,M2R2V0_RNG,A9,C1,1
3,M2R2V0_RNG,A9,C1,1
4,M2R2V0_RNG,A9,C1,1
5,M2R2V0_RNG,A9,C1,0.8
6,M2R2V0_RNG,A9,C1,1
7,M2R2V0_RNG,A9,C1,0.8
8,M2R2V0_RNG,A9,C1,1
9,M2R2V0_RNG,A9,C1,1
10,M2R2V0_RNG,A9,C1,0.8
11,M2R2V0_RNG,A9,C1,0.8
12,M2R2V0_RNG,A9,C1,1
13,M2R2V0_RNG,A9,C1,1
14,M2R2V0_RNG,A9,C1,1
15,M2R2V0_RNG,A9,C1,0.8
16,M2R2V0_RNG,A9,C1,1
17,M2R2V0_RNG,A9,C1,1
18,M2R2V0_RNG,A9,C1,1
19,M2R2V0_RNG,A9,C1,1
20,M2R2V0_RNG,A9,C1,0.4
21,M2R2V0_RNG,A9,C1,1
22,M2R2V0_RNG,A9,C1,0.8
23,M2R2V0_RNG,A9,C1,1
24,M2R2V0_RNG,A9,C1,0.6
25,M2R2V0_RNG,A9,C1,1
26,M2R2V0_RNG,A9,C1,1
27,M2R2V0_RNG,A9,C1,1
28,M2R2V0_RNG,A9,C1,1
29,M2R2V0_RNG,A9,C1,0.8
30,M2R2V0_RNG,A9,C1,1
1,M2R2V1_DEC,A9,C4,0.8
2,M2R2V1_DEC,A9,C4,0.8
3,M2R2V1_DEC,A9,C4,0.4
4,M2R2V1_DEC,A9,C4,1
5,M2R2V1_DEC,A9,C4,1
